term,title,critics,audience
avengersendgame,Avengers: Endgame,94,90
badboysforlife,Bad Boys for Life,77,96
beanpole,Beanpole,91,74
bigtimeadolescence,Big Time Adolescence,84,83
birdsofprey,Harley Quinn: Birds of Prey,78,78
bloodshotmovie,Bloodshot,30,78
bluestory,Blue Story,97,71
catsthemovie,Cats,20,53
clemency,Clemency,91,65
darkwaters,Dark Waters,90,95
dreamkatcher,Dreamkatcher,0,68
elhoyo,The Platform,82,70
emmamovie,Emma.,86,72
extraction,Extraction,68,70
frozen2,Frozen II,77,92
ipman4,Ip Man 4: The Finale,90,95
joker,Joker,68,88
jumanji,Jumanji: The Next Level,71,87
onward,Onward,88,95
parasite,Parasite,99,90
portraitofaladyonfire,Portrait of a Lady on Fire,98,92
riseofskywalker,Star Wars: The Rise of Skywalker,52,86
sonicmovie,Sonic the Hedgehog,64,93
spiesindisguise,Spies in Disguise,75,92
thebanker,The Banker,75,100
thecallofthewild,The Call of the Wild,62,89
thecurrentwar,The Current War: Director's Cut,60,79
thegentlemen,The Gentlemen,74,84
theinvisibleman,The Invisible Man,91,88
thelastfullmeasure,The Last Full Measure,60,96
trollsworldtour,Trolls World Tour,70,62
